"Wyss.WIAC.008.ae4.Day.1" "Wyss.WIAC.024.ae4.Day.3" "Wyss.WIAC.016.ae4.Day.2" "Wyss.WIAC.001.an1.Day.1" "Wyss.WIAC.011.an3.Day.2" "Wyss.WIAC.004.an4.Day.1" "Wyss.WIAC.006.ae2.Day.1" "Wyss.WIAC.023.ae3.Day.3" "Wyss.WIAC.020.an4.Day.3" "Wyss.WIAC.012.an4.Day.2" "Wyss.WIAC.017.an1.Day.3" "Wyss.WIAC.010.an2.Day.2" "Wyss.WIAC.014.ae2.Day.2" "Wyss.WIAC.015.ae3.Day.2" "Wyss.WIAC.003.an3.Day.1" "Wyss.WIAC.013.ae1.Day.2" "Wyss.WIAC.019.an3.Day.3" "Wyss.WIAC.022.ae2.Day.3" "Wyss.WIAC.009.an1.Day.2" "Wyss.WIAC.002.an2.Day.1" "Wyss.WIAC.018.an2.Day.3" "Wyss.WIAC.021.ae1.Day.3" "Wyss.WIAC.007.ae3.Day.1" "Wyss.WIAC.005.ae1.Day.1" "Wyss.Hmb11" "Wyss.Media.no.bacteria"
"1104936" 62 77 56 0 52 0 43 38 0 0 0 26 61 40 49 0 54 56 0 45 32 0 45 3 4 2
"813217" 94 140 118 0 89 1 97 91 0 2 0 104 89 72 58 22 116 129 0 96 109 0 74 30 18 5
"437137" 0 27 0 164 681 82 0 273 3109 2033 1717 859 0 271 226 0 486 0 1533 291 475 0 1 0 1 0
"359809" 0 0 0 6 57 0 0 0 6 6 19 42 435 0 24 0 46 742 30 17 8 0 0 0 3 0
"194360" 0 0 0 5 0 0 0 0 0 0 283 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0
"529652" 0 0 0 18 0 0 0 0 0 0 5550 0 0 0 0 0 0 0 1991 0 3 1 6 0 2 0
"359872" 0 96 0 0 77 0 0 11 227 103 562 187 72 0 0 0 166 226 322 3 214 0 3 0 30 0
"588471" 0 4 0 0 78 0 0 18 7 0 37 56 52 4 0 0 65 51 1 0 72 0 0 0 1 0
"593043" 3 109 4 0 2693 0 2 697 1831 38 3208 2411 1659 19 4 16 3824 1643 307 12 3573 2 0 0 214 0
"696563" 2 0 0 0 0 0 0 0 1 0 0 392 0 0 1 0 0 0 0 186 975 0 0 0 62 0
"583089" 0 0 0 2 129 0 0 0 255 273 117 30 0 0 2 0 270 0 45 4 40 0 0 0 8 0
"535601" 0 0 0 0 372 0 0 0 0 0 880 0 362 0 0 0 1958 875 0 0 0 0 0 0 272 0
"335550" 0 0 0 7 41 0 0 0 55 160 193 45 0 0 0 0 44 0 373 7 2 0 2 0 1 0
"581079" 0 0 0 81 795 12 0 0 1236 2692 3152 786 0 0 12 0 784 0 4112 181 158 0 0 1 82 0
"420168" 0 0 0 0 2 0 0 0 0 0 59 99 0 0 0 0 0 0 11 0 86 0 0 0 9 0
"591635" 18 3 5 65 7 15 7 3 22 32 12 22 4 19 11 11 16 6 18 42 13 9 4 5 36 0
"1084865" 3 1504 2 1 6 2 1 376 4 4 2 2 3 40 2 6 4 1 4 4 8 5 5 4 0 1
"1084906" 0 287 0 0 0 1 1 59 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0
"348680" 714 579 683 0 134 0 538 126 4 0 0 315 254 201 223 300 168 210 0 403 158 65 559 726 37 0
"1111582" 8411 7325 9932 12681 4407 9841 6746 2466 4549 11271 8198 6847 4796 4143 3419 6388 3457 4593 12067 6449 3775 20791 9487 13568 1803 6
"1090059" 5 320 1 20 2 11 3 67 2 6 1 0 0 17 0 5 2 0 7 8 0 4 1 7 3 0
"1069592" 0 522 1 0 0 0 0 77 0 0 0 1 0 8 0 0 1 0 0 1 0 0 0 0 0 0
"622288" 2 667 2 2 3 2 2 99 2 7 4 2 1 34 1 0 1 2 2 1 2 6 1 5 1 0
"579851" 0 0 0 0 152 0 0 0 0 0 0 0 0 0 3 0 44 0 0 0 2 0 0 0 130 0
"585914" 60 108 90 559 159 362 32 85 93 356 141 176 115 86 240 160 111 164 366 459 23 32 37 31 130 0
"3465320" 19 20 24 37 13 12 12 8 2 21 9 14 37 12 48 13 12 2 97 74 4 3 7 14 5 0
"175485" 490 723 489 2046 794 1387 253 494 1191 1091 1628 1208 757 718 794 796 684 740 1931 1285 826 91 226 148 52 0
"192684" 97 173 92 265 151 99 76 51 152 200 233 218 216 171 141 149 127 130 347 205 153 14 29 22 10 0
"577170" 294 403 315 1368 527 854 143 343 776 809 1046 1086 610 573 536 617 478 429 1355 959 733 101 157 119 44 0
"583117" 1386 2161 1352 2404 1993 1474 1819 1247 2293 2588 3044 2663 2382 2069 1466 1853 2490 2450 3047 2535 2137 372 504 318 573 0
"535375" 140 240 170 242 202 134 174 145 257 291 357 218 235 273 136 206 299 251 320 219 225 48 56 22 69 0
"71331" 24 40 21 60 44 42 30 13 46 58 78 60 50 50 15 49 17 44 61 34 34 3 0 6 1 0
"3472078" 510 629 510 1802 802 1047 281 491 1017 927 1535 1248 754 639 837 833 515 729 1673 1203 836 91 251 151 44 0
"351231" 204 334 173 610 310 406 115 220 494 399 596 406 194 200 210 244 380 270 559 372 398 400 159 133 58 0
"193233" 178 171 132 292 200 178 107 213 252 231 369 245 190 132 214 158 251 228 288 361 265 111 100 54 119 0
"583656" 15979 22161 11664 35138 22723 27107 10546 19481 40843 30221 42664 26210 20010 14850 20018 21492 28406 23478 37637 29230 29826 17536 8977 7017 15044 4
"550814" 154 175 130 147 90 62 108 47 73 123 117 102 168 67 194 102 67 90 266 294 40 8 45 45 137 0
